12-05-2018 16:33:53:663;zatrzymanie na swiatlach
12-05-2018 16:33:58:405;przyspieszanie na swiatlach
12-05-2018 16:34:23:233;skret w lewo
12-05-2018 16:35:17:291;skret w lewo
12-05-2018 16:35:56:470;hamowanie
12-05-2018 16:36:13:510;skret w prawo
12-05-2018 16:36:47:532;hamowanie
12-05-2018 16:37:36:543;hamowanie
12-05-2018 16:37:50:890;skret w prawo
12-05-2018 16:38:29:821;skret w lewo
12-05-2018 16:38:40:316;skret w prawo
12-05-2018 16:39:21:458;skret w prawo
12-05-2018 16:39:53:056;hamowanie
12-05-2018 16:40:01:983;skret w lewo
12-05-2018 16:42:15:052;hamowanie
12-05-2018 16:44:58:461;skret w prawo
