02-06-2018 20:24:28:228;skret w prawo
02-06-2018 20:24:42:865;wyprzedzanie
02-06-2018 20:24:52:364;wyprzedzanie
02-06-2018 20:25:26:346;wyprzedzanie
02-06-2018 20:25:44:416;wyprzedzanie
02-06-2018 20:26:25:355;wyprzedzanie
02-06-2018 20:27:04:982;wyprzedzanie
02-06-2018 20:27:18:167;wyprzedzanie
02-06-2018 20:27:26:915;zmiana pasa na lewy
02-06-2018 20:27:32:248;zmiana pasa na prawy
02-06-2018 20:27:52:241;hamowanie
02-06-2018 20:28:15:756;hamowanie
02-06-2018 20:28:50:858;wyprzedzanie
02-06-2018 20:29:34:149;hamowanie
02-06-2018 20:30:10:037;hamowanie
02-06-2018 20:30:36:151;wyprzedzanie
02-06-2018 20:30:53:899;wyprzedzanie
02-06-2018 20:31:36:843;wyprzedzanie
02-06-2018 20:32:26:950;wyprzedzanie
02-06-2018 20:33:12:519;zatrzymanie na swiatlach
02-06-2018 20:33:35:288;przyspieszanie na swiatlach
02-06-2018 20:34:38:702;wyprzedzanie
02-06-2018 20:35:05:800;wyprzedzanie
02-06-2018 20:35:46:842;wyprzedzanie
02-06-2018 20:35:59:628;wyprzedzanie
02-06-2018 20:36:00:285;wyprzedzanie
02-06-2018 20:37:02:682;hamowanie
02-06-2018 20:37:38:201;hamowanie
02-06-2018 20:37:54:888;przyspieszanie na swiatlach
02-06-2018 20:38:10:103;wyprzedzanie
02-06-2018 20:39:26:123;hamowanie
02-06-2018 20:39:43:510;zatrzymanie na swiatlach
02-06-2018 20:40:02:434;przyspieszanie na swiatlach
02-06-2018 20:42:32:572;zatrzymanie na swiatlach
02-06-2018 20:43:03:561;przyspieszanie na swiatlach
02-06-2018 20:43:15:670;hamowanie
02-06-2018 20:43:58:392;zatrzymanie na swiatlach
02-06-2018 20:44:41:809;skret w lewo
02-06-2018 20:44:48:833;skret w lewo
