13-05-2018 11:25:34:634;zmiana pasa na prawy
13-05-2018 11:25:37:585;skret w prawo
13-05-2018 11:26:10:853;zatrzymanie na swiatlach
13-05-2018 11:26:48:619;przyspieszanie na swiatlach
13-05-2018 11:26:56:399;skret w lewo
13-05-2018 11:27:21:091;hamowanie
13-05-2018 11:28:30:603;hamowanie
13-05-2018 11:28:48:669;hamowanie
13-05-2018 11:29:02:353;skret w prawo
13-05-2018 11:32:54:631;hamowanie
13-05-2018 11:33:27:983;hamowanie
13-05-2018 11:37:23:816;hamowanie
13-05-2018 11:41:22:390;skret w lewo
