timestamp,x,y,z;
511,-0.526724,0.057461,11.156980;
512,-0.153229,1.292869,12.277467;
514,-0.622492,0.612916,13.484144;
515,0.287304,0.383072,11.042058;
516,-0.248997,1.063026,12.938266;
517,0.316035,1.139640,15.217546;
518,0.114922,1.570596,17.362751;
519,0.268151,1.254562,15.207970;
520,-0.086191,1.053449,12.717999;
522,0.957681,2.279280,13.436260;
523,0.861913,2.365471,13.474567;
524,0.134075,1.742979,11.070788;
525,0.478840,1.264138,7.977480;
526,1.168370,1.541866,7.680599;
528,0.986411,2.087744,8.868123;
529,0.296881,2.202666,7.738060;
530,0.517148,1.857901,2.518700;
531,0.842759,2.068590,2.719813;
532,1.177947,1.924938,5.525817;
533,1.082179,1.762132,6.655881;
535,0.536301,1.120486,2.882619;
536,0.545878,1.398214,3.323152;
537,0.555455,1.513135,4.702212;
538,0.900220,1.991976,5.659893;
539,0.124498,2.059013,5.056554;
540,1.110910,1.848324,4.778827;
542,0.890643,2.844312,4.022259;
543,0.536301,2.489970,4.194642;
544,-0.287304,3.246537,7.623138;
545,-0.651223,3.821146,10.113108;
546,0.392649,2.681506,4.510676;
547,-0.584185,2.173935,4.012682;
549,-2.432509,1.091756,4.232949;
550,-4.309563,1.599327,5.679047;
551,-5.066131,2.030283,9.385271;
552,-6.636727,1.091756,7.996634;
553,-8.092402,0.134075,8.580819;
555,-8.839393,-0.009577,13.570335;
556,-7.795521,-0.143652,16.424223;
557,-6.684611,0.191536,16.175226;
558,-7.192182,0.632069,14.738706;
559,-6.588843,0.105345,15.140931;
560,-5.046977,-0.019154,15.763424;
562,-3.102885,-0.325611,13.828909;
563,-2.365471,-0.641646,12.191275;
564,-1.398214,-1.302446,11.061212;
565,-0.967257,-1.675941,11.156980;
566,-0.909797,-2.097321,11.291056;
567,0.076614,-2.624045,10.486604;
569,-0.517148,-2.604892,11.051635;
570,-0.220267,-1.982399,9.538500;
571,0.517148,-2.135628,8.762778;
572,1.244985,-1.905785,8.820239;
573,1.321599,-1.963245,9.145850;
574,1.675941,-1.819593,9.854534;
576,3.438074,-0.871489,8.657434;
577,3.055001,-0.603339,7.910442;
578,2.777274,-0.766145,9.107543;
579,4.137180,-0.986411,9.078813;
580,4.654328,-0.679953,8.925584;
581,4.386178,-0.909797,9.279925;
583,3.351882,-0.574608,9.586384;
584,3.964798,-0.794875,9.308656;
585,4.501099,-0.488417,8.149862;
586,2.978387,-0.268151,8.571242;
587,2.030283,-0.967257,9.844957;
588,1.168370,-1.024718,9.356541;
590,1.618480,0.373495,13.235147;
591,3.945644,0.823605,16.012421;
592,6.761226,0.459687,12.890382;
593,5.372589,0.000000,11.252748;
594,2.729390,1.446098,12.018892;
601,2.470816,-0.124498,5.631162;
602,2.030283,0.239420,1.005565;
603,-0.794875,1.082179,-3.083732;
604,-4.865018,2.537854,-7.038953;
605,-7.374141,2.940080,-10.448297;
607,-0.651223,4.673482,-8.370130;
608,3.801992,4.357447,-9.327810;
609,5.487510,4.702212,-9.911995;
610,1.369483,5.525817,-11.597513;
611,3.313575,5.161899,-14.020445;
612,7.201759,4.616021,-14.547170;
613,8.073248,3.074155,-11.128249;
615,0.545878,0.670376,-1.398214;
616,-0.383072,-0.440533,3.792415;
617,-0.181959,-0.181959,7.556100;
618,-0.584185,-0.976834,12.258312;
619,-1.924938,-2.020706,14.863204;
620,-6.110003,-1.551443,12.306197;
621,-5.803545,0.124498,9.346964;
623,-2.470816,1.139640,9.720459;
624,-2.346318,0.105345,14.767436;
625,-1.628057,-1.120486,17.027563;
626,-1.225831,-0.574608,15.217546;
627,-1.570596,0.124498,11.185710;
628,-3.687071,1.599327,9.423578;
629,-3.897760,3.543418,5.640739;
631,10.247183,10.141838,-3.620033;
632,11.089942,12.009315,-5.046977;
633,8.130709,10.362105,-1.197101;
634,3.983952,9.232041,2.844312;
635,2.509123,7.220912,4.644751;
636,-0.440533,4.587290,5.908890;
637,-3.141193,0.995988,10.630256;
639,-2.193089,-2.145205,20.791248;
640,-2.164358,-2.250550,15.993267;
641,-2.614468,-1.637634,5.669470;
642,-0.718261,-0.900220,0.612916;
643,-1.005565,-1.972822,0.545878;
644,-0.794875,-3.236961,1.522712;
646,-4.098873,-4.098873,-2.394202;
647,-4.232949,-3.983952,-2.499547;
648,-3.706224,-3.993528,-1.331176;
649,-4.252102,-4.386178,1.800440;
650,-4.692636,-4.089296,7.029376;
652,1.379060,-2.106898,19.804836;
653,0.172383,-1.369483,36.343983;
654,-1.829170,-1.350330,39.762901;
656,5.209783,-1.331176,29.525295;
657,4.884171,-1.225831,19.450495;
658,5.075707,-1.675941,11.156980;
659,3.160346,-2.078167,2.413355;
660,-0.162806,-2.375048,-2.815581;
661,-2.327164,-2.911349,-5.123591;
